date,tempF,humidity,pm10,pm2_5_categories,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5
2026-08-27,27.045832,85.066124,8.6125,very low,907.9583,454.5,4.1458335,17.158333,37.333332,26.95394598142577,8.25
2026-08-28,26.545832,86.98557,7.4,very low,1074.7084,461.79166,3.6416667,15.4875,38.291668,27.136443162173947,6.6124997
2026-08-29,26.535416,87.40975,7.308333,very low,1068.5834,463.08334,3.5249999,15.650001,37.666668,26.965625327504107,6.8333335
2026-08-30,25.2875,92.14734,5.504167,very low,733.2083,455.16666,2.5958333,10.925,36.958332,26.106698706554383,5.0375
2026-08-31,24.862501,93.69892,11.783333,very low,1093.3334,456.75,6.4,20.920834,34.75,27.896413938120006,11.479167
2026-09-01,25.014582,93.51664,12.9,very low,582.0,464.0,5.8,18.8,19.0,23.430090419882966,12.7
