tempF,humidity,pm10,pm2_5_categories,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,date,pm2_5
56.61,69,57.337498,high,2053.2083,476.5320213,11.191667,42.470833,120.708336,18,27/02/2023,39.658333
59.74,51,70.950005,high,2012.375,476.5320213,10.183333,39.066666,148.54167,30,28/02/2023,49.245834
58.33,48,75.395836,high,1256,476.5320213,11.608334,11.787499,158.75,24,01/03/2023,52.45
60.08,39,69.99167,high,883.25,476.5320213,9.779166,6.679167,154.70833,17,02/03/2023,48.716663
60.15,39,55.162502,high,660.8333,476.5320213,6.054167,5.929167,115.875,30,03/03/2023,38.320835
58.55,50,61.879166,high,680.5833,476.5320213,8.266666,6.4249997,126.083336,16,04/03/2023,42.895832
57.36,50,68.433334,high,792.0833,476.5320213,6.620833,7.3583336,122.291664,14,05/03/2023,47.233334
58.86,51,63.712498,high,1229,476.5320213,4.6916666,24.479166,107.208336,23,06/03/2023,44.07083
58.44,54,64.441666,high,1286.2916,476.5320213,3.5291665,24.645834,93.5,40,07/03/2023,44.675
60.06,49,67.645836,high,1703.3334,476.5320213,4.2374997,34.649998,99.708336,26,08/03/2023,46.970837
62.74,47,70.316666,high,1144.7084,476.5320213,5.6541667,11.175,152.79167,28,09/03/2023,48.899998
61.86,50,66.333336,high,842.4583,476.5320213,6.179167,6.5958333,115.416664,30,10/03/2023,46.05417
63.72,42,82.65,high,1048.8334,476.5320213,8.108334,7.804167,121.708336,22,11/03/2023,57.583332
65.84,40,93.73334,high,1361.7084,476.5320213,5.491667,22.5,109.375,22,12/03/2023,65.362495
62.29,71,87.55417,high,1798.5834,476.5320213,8.691667,34.4875,94.208336,28,13/03/2023,60.920834
58.17,93,75.620834,high,1780.6666,476.5320213,5.6625,35.212498,105.333336,26,14/03/2023,52.558334
59.86,72,61.774998,high,1872.4166,476.5320213,3.8374999,28.604166,82.458336,32,15/03/2023,42.958332
65.95,56,49.2,moderate,1287.2916,476.5320213,2.2083333,20.820833,79.666664,35,16/03/2023,34.141666
