tempF,humidity,pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date
57.58,51,62.183334,high,1975.0834,476.5320213,7.7125,39.375,104.25,252,43.2625,2023/02/20
60.53,64,51.879166,moderate,1664.7916,476.5320213,4.766667,33.204166,70.625,274,35.920834,2023/02/21
58.05,63,50.895832,moderate,1632.8334,476.5320213,4.3458333,35.287502,83.875,225,35.241665,2023/02/22
57.22,65,57.675,high,1793.625,476.5320213,3.8374999,33.899998,74.708336,169,39.925,2023/02/23
57.29,61,60.925,high,1962.5834,476.5320213,5.233333,40.391666,124.916664,134,42.291668,2023/02/24
60.46,51,57.270832,high,1555.375,476.5320213,9.966666,32.716667,97.75,63,39.658333,2023/02/25
57.43,69,47.925,moderate,1979,476.5320213,8.033334,37.695835,88.958336,80,33.4875,2023/02/26
56.61,69,57.337498,high,2053.2083,476.5320213,11.191667,42.470833,120.708336,254,39.658333,2023/02/27
59.74,51,70.950005,high,2012.375,476.5320213,10.183333,39.066666,148.54167,204,49.245834,2023/02/28
58.33,48,75.395836,high,1256,476.5320213,11.608334,11.787499,158.75,186,52.45,2023/03/01
60.08,39,69.99167,high,883.25,476.5320213,9.779166,6.679167,154.70833,113,48.716663,2023/03/02
60.15,39,55.162502,high,660.8333,476.5320213,6.054167,5.929167,115.875,199,38.320835,2023/03/03
58.55,50,61.879166,high,680.5833,476.5320213,8.266666,6.4249997,126.083336,58,42.895832,2023/03/04
57.36,50,68.433334,high,792.0833,476.5320213,6.620833,7.3583336,122.291664,50,47.233334,2023/03/05
58.86,51,63.712498,high,1229,476.5320213,4.6916666,24.479166,107.208336,72,44.07083,2023/03/06
58.44,54,64.441666,high,1286.2916,476.5320213,3.5291665,24.645834,93.5,289,44.675,2023/03/07
60.06,49,67.645836,high,1703.3334,476.5320213,4.2374997,34.649998,99.708336,232,46.970837,2023/03/08
62.74,47,70.316666,high,1144.7084,476.5320213,5.6541667,11.175,152.79167,157,48.899998,2023/03/09
61.86,50,66.333336,high,842.4583,476.5320213,6.179167,6.5958333,115.416664,215,46.05417,2023/03/10
63.72,42,82.65,high,1048.8334,476.5320213,8.108334,7.804167,121.708336,83,57.583332,2023/03/11
65.84,40,93.73334,high,1361.7084,476.5320213,5.491667,22.5,109.375,64,65.362495,2023/03/12
62.29,71,87.55417,high,1798.5834,476.5320213,8.691667,34.4875,94.208336,257,60.920834,2023/03/13
58.17,93,75.620834,high,1780.6666,476.5320213,5.6625,35.212498,105.333336,264,52.558334,2023/03/14
59.86,72,61.774998,high,1872.4166,476.5320213,3.8374999,28.604166,82.458336,231,42.958332,2023/03/15
65.95,56,49.2,moderate,1287.2916,476.5320213,2.2083333,20.820833,79.666664,182,34.141666,2023/03/16
62.33,63,63.729168,high,1676.875,476.5320213,3.1083333,30.370834,92.291664,169,44.3,2023/03/17
62.31,57,55.462498,high,1316,476.5320213,2.7291667,21.216667,71.5,58,38.579166,2023/03/18
62.6,64,52.033337,moderate,1228.2084,476.5320213,2.6333334,21.283335,77.916664,59,36.183334,2023/03/19
62.82,60,42.825,moderate,1354.7916,476.5320213,2.6625001,17.820833,61.625,265,29.5875,2023/03/20
62.91,61,38.554165,moderate,1574.0416,476.5320213,3.425,23.304167,48.666668,284,26.608332,2023/03/21
61.14,71,27.154167,low,1246.0834,476.5320213,3.0125,21.804167,54.916668,240,18.725,2023/03/22
61.18,54,28.370834,low,1115.125,476.5320213,3.1791668,23.454168,63.666668,141,19.470833,2023/03/23
60.48,59,30.416666,low,1387.7084,476.5320213,3.075,23.370834,61.458332,159,20.916666,2023/03/24
61.02,61,43.75833,moderate,1555.9584,476.5320213,3.575,27.824999,72.458336,66,30.204168,2023/03/25
63.36,65,40.454166,moderate,1200.5,476.5320213,2.8708334,25.233332,75.75,65,27.941666,2023/03/26
63.05,66,45.8625,moderate,1512.25,476.5320213,3.6708333,29.033333,82.333336,266,31.7125,2023/03/27
61.57,53,53.354168,moderate,761.8333,476.5320213,3.8416665,10.866666,98.416664,270,37.037502,2023/03/28
62.1,49,86.270836,high,757.2917,476.5320213,4.875,10.525001,82.916664,220,60.0125,2023/03/29
61.97,43,90.65833,high,735.125,476.5320213,4.991667,8.841666,97.458336,157,62.9875,2023/03/30
62.64,56,67.895836,high,600.2083,476.5320213,4.1916666,6.1124997,97.583336,189,46.95,2023/03/31
64.94,51,67.166664,high,648.125,476.5320213,4.2875,5.6583333,116.291664,73,46.475002,2023/04/01
63.28,72,39.829166,moderate,454.41666,476.5320213,3.4375,5.6458335,83.791664,62,27.441666,2023/04/02
61.38,49,35.158333,low,436.41666,476.5320213,3.4583333,5.491667,72.333336,264,24.0625,2023/04/03
61.36,56,40.179165,moderate,470.5,476.5320213,3.7749999,5.233333,88.958336,297,27.520834,2023/04/04
60.08,46,56.337498,high,581.875,476.5320213,3.966667,5.8416667,98.5,238,38.912502,2023/04/05
63.73,44,68.512505,high,709.7917,476.5320213,4.7083335,6.1541667,109.458336,80,47.57083,2023/04/06
66.54,48,75.39167,high,748.7083,476.5320213,4.9333334,6.5375,107.583336,190,52.30417,2023/04/07
66.9,40,62.462498,high,679.5833,476.5320213,4.4791665,5.7708335,106.125,43,43.129166,2023/04/08
67.05,36,50.254166,moderate,624.5417,476.5320213,4.241667,5.5375,102.083336,65,34.579166,2023/04/09
67.73,51,40.983334,moderate,529.7917,476.5320213,3.8083334,4.8125,94.833336,270,28.245834,2023/04/10
66.02,39,53.0125,moderate,638.375,476.5320213,4.6541667,5.7666664,100.166664,254,36.716667,2023/04/11
66.83,49,68.762505,high,712.6667,476.5320213,4.55,4.304167,115.166664,229,47.825,2023/04/12
67.86,57,51.208332,moderate,583.7917,476.5320213,3.7708333,3.4166667,104.166664,58,35.408333,2023/04/13
67.6,56,43.45,moderate,1048.5,476.5320213,4.1208334,20.762499,88.416664,74,30.054167,2023/04/14
65.98,40,61.720837,high,720.0833,476.5320213,5.1458335,6.7125,98.666664,68,42.879166,2023/04/15
67.96,36,53.645832,moderate,592.2083,476.5320213,4.2166667,5.1625,87.916664,59,37.025,2023/04/16
67.78,53,47.016666,moderate,516.5,476.5320213,3.5041666,4.545833,94.666664,71,32.412502,2023/04/17
64.81,47,46.575,moderate,629.375,476.5320213,3.6416667,6.2125,104.833336,271,32.204166,2023/04/18
68.27,53,51.545834,moderate,510.79166,476.5320213,4.0333333,3.9666665,100.208336,229,35.670834,2023/04/19
67.28,70,52.274998,moderate,491.20834,476.5320213,3.1416667,3.8999999,92.875,110,35.991665,2023/04/20
65.08,78,50.958332,moderate,448.16666,476.5320213,3.5833333,4.7374997,85.166664,232,34.866665,2023/04/21
