"pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date"
"39.545834,moderate,1897.75,476.53202125,4.7791667,36.545834,109.708336,107.0,27.574999,2023-02-19"
"62.183334,high,1975.0834,476.53202125,7.7124999999999995,39.375,104.25,678.0,43.2625,2023-02-20"
"51.879166,moderate,1664.7916,476.53202125,4.766667,33.204166,70.625,508.0,35.920834,2023-02-21"
"50.895832,moderate,1632.8334,476.53202125,4.3458333,35.287502,83.875,435.0,35.241665,2023-02-22"
"57.675,high,1793.625,476.53202125,3.8374998999999996,33.899998,74.708336,306.0,39.925,2023-02-23"
"60.925,high,1962.5834,476.53202125,5.233333,40.391666,124.916664,322.0,42.291668,2023-02-24"
"57.270832,high,1555.375,476.53202125,9.966666,32.716667,97.75,174.0,39.658333,2023-02-25"
"47.925,moderate,1979.0,476.53202125,8.033334,37.695835,88.958336,159.0,33.4875,2023-02-26"
"57.337498,high,2053.2083,476.53202125,11.191667,42.470833,120.708336,692.0,39.658333,2023-02-27"
"70.950005,high,2012.375,476.53202125,10.183333,39.066666,148.54167,408.0,49.245834,2023-02-28"
"75.395836,high,1256.0,476.53202125,11.608334,11.787499,158.75,417.0,52.45,2023-03-01"
"69.99167000000001,high,883.25,476.53202125,9.779166,6.679166999999999,154.70833,240.0,48.716663,2023-03-02"
"55.162502,high,660.8333,476.53202125,6.054167,5.929167,115.875,517.0,38.320835,2023-03-03"
"61.879166000000005,high,680.5833,476.53202125,8.266666,6.4249997,126.08333600000002,170.0,42.895832,2023-03-04"
"68.433334,high,792.0833,476.53202125,6.620833,7.3583336,122.291664,80.0,47.233334,2023-03-05"
"63.71249799999999,high,1229.0,476.53202125,4.6916666,24.479166,107.208336,139.0,44.07083,2023-03-06"
"64.441666,high,1286.2916,476.53202125,3.5291665,24.645834,93.5,523.0,44.675,2023-03-07"
"67.645836,high,1703.3334,476.53202125,4.2374997,34.649998,99.708336,497.0,46.970837,2023-03-08"
"70.316666,high,1144.7084,476.53202125,5.6541667,11.175,152.79167,298.0,48.899998,2023-03-09"
"66.333336,high,842.4583,476.53202125,6.179167,6.5958333,115.416664,542.0,46.05417,2023-03-10"
"82.65,high,1048.8334,476.53202125,8.108334,7.804167,121.708336,320.0,57.583332,2023-03-11"
"93.73334,high,1361.7084,476.53202125,5.491667,22.5,109.375,130.0,65.362495,2023-03-12"
"87.55417,high,1798.5834000000002,476.53202125,8.691667,34.4875,94.208336,797.0,60.920834,2023-03-13"
"75.62083400000002,high,1780.6666,476.53202125,5.662499999999999,35.212498,105.33333600000002,454.0,52.558334,2023-03-14"
"61.774998,high,1872.4166,476.53202125,3.8374999000000005,28.604166,82.458336,570.0,42.958332,2023-03-15"
"49.2,moderate,1287.2916,476.53202125,2.2083333,20.820833,79.666664,377.0,34.141666,2023-03-16"
"63.729168,high,1676.875,476.53202125,3.1083333,30.370834,92.291664,467.0,44.3,2023-03-17"
"55.462498,high,1316.0,476.53202125,2.7291667,21.216667,71.5,146.0,38.579166,2023-03-18"
"52.033337,moderate,1228.2084,476.53202125,2.6333334,21.283335,77.916664,109.0,36.183334,2023-03-19"
"42.825,moderate,1354.7916,476.53202125,2.6625001,17.820833,61.625,729.0,29.5875,2023-03-20"
"38.554165,moderate,1574.0416,476.53202125,3.425,23.304167,48.666668,507.0,26.608332,2023-03-21"
"27.154167,low,1246.0834,476.53202125,3.0125,21.804167,54.916668,506.0,18.725,2023-03-22"
"28.370834,low,1115.125,476.53202125,3.1791668,23.454168,63.666668,260.0,19.470833,2023-03-23"
"30.416665999999996,low,1387.7084,476.53202125,3.075,23.370834,61.45833199999999,362.0,20.916666,2023-03-24"
"43.75833,moderate,1555.9584,476.53202125,3.5750000000000006,27.824999,72.458336,154.0,30.204168000000003,2023-03-25"
"40.454166,moderate,1200.5,476.53202125,2.8708334,25.233332,75.75,138.0,27.941666,2023-03-26"
"45.8625,moderate,1512.25,476.53202125,3.6708333000000004,29.033333,82.333336,721.0,31.7125,2023-03-27"
"53.354168,moderate,761.8333,476.53202125,3.8416665,10.866666,98.416664,603.0,37.037502,2023-03-28"
"86.270836,high,757.2917,476.53202125,4.875,10.525001,82.916664,549.0,60.0125,2023-03-29"
"90.65833,high,735.125,476.53202125,4.991667,8.841666,97.458336,363.0,62.9875,2023-03-30"
"67.895836,high,600.2083,476.53202125,4.1916666,6.1124997,97.583336,502.0,46.95,2023-03-31"
"67.166664,high,648.125,476.53202125,4.2875,5.6583333,116.291664,239.0,46.475002,2023-04-01"
"39.829166,moderate,454.41666,476.53202125,3.4375,5.6458335,83.791664,114.0,27.441666,2023-04-02"
"35.158333,low,436.41666,476.53202125,3.4583333,5.491667,72.333336,759.0,24.0625,2023-04-03"
"40.179165,moderate,470.5,476.53202125,3.7749999,5.233333,88.958336,565.0,27.520834,2023-04-04"
"56.337498,high,581.875,476.53202125,3.9666669999999997,5.8416667,98.5,584.0,38.912502,2023-04-05"
"68.512505,high,709.7917,476.53202125,4.7083335,6.1541667,109.458336,145.0,47.57083,2023-04-06"
"75.39167,high,748.7083,476.53202125,4.9333334,6.5375,107.583336,535.0,52.30417,2023-04-07"
"62.46249799999999,high,679.5833,476.53202125,4.4791665,5.7708335,106.125,155.0,43.129166,2023-04-08"
"50.254166,moderate,624.5417,476.53202125,4.241667,5.5375,102.083336,124.0,34.579166,2023-04-09"
"40.983334,moderate,529.7917,476.53202125,3.8083334000000004,4.8125,94.83333600000002,728.0,28.245833999999995,2023-04-10"
"53.0125,moderate,638.375,476.53202125,4.6541667,5.7666664,100.166664,508.0,36.716667,2023-04-11"
"68.762505,high,712.6667,476.53202125,4.55,4.304167,115.166664,495.0,47.825,2023-04-12"
"51.208332,moderate,583.7917,476.53202125,3.7708333,3.4166667,104.166664,122.0,35.408333,2023-04-13"
"43.45,moderate,1048.5,476.53202125,4.1208334,20.762499,88.416664,135.0,30.054167,2023-04-14"
"61.720837,high,720.0833,476.53202125,5.1458335,6.7125,98.666664,125.0,42.879166,2023-04-15"
"53.645832,moderate,592.2083,476.53202125,4.2166667,5.1625,87.916664,98.0,37.025,2023-04-16"
"47.016666,moderate,516.5,476.53202125,3.5041666,4.545833,94.666664,133.0,32.412502,2023-04-17"
"46.575,moderate,629.375,476.53202125,3.6416667,6.2125,104.833336,508.0,32.204166,2023-04-18"
"51.545834,moderate,510.79166000000004,476.53202125,4.0333333,3.9666665,100.208336,559.0,35.670834,2023-04-19"
"52.274998,moderate,491.20834,476.53202125,3.1416667,3.8999999,92.875,234.0,35.991665,2023-04-20"
"50.958332,moderate,448.16666,476.53202125,3.5833333,4.7374997,85.166664,591.0,34.866665,2023-04-21"
"58.254166,high,445.75,476.53202125,3.3791666,4.7208333,82.5,209.0,39.8875,2023-04-22"
"46.100002,moderate,455.95834,476.53202125,2.9166667,5.3125,72.791664,118.0,31.3375,2023-04-23"
"48.758329999999994,moderate,1042.875,476.53202125,3.2375,23.016668,60.833332,852.0,33.029167,2023-04-24"
"43.295834,moderate,1271.6666,476.53202125,2.8166666,23.804167,61.125,544.0,29.341667,2023-04-25"
"43.541668,moderate,779.7917,476.53202125,2.2666667,12.5,68.291664,445.0,29.966667,2023-04-26"
"46.583332,moderate,915.25,476.53202125,2.2749999,17.020834,64.208336,309.0,32.295834,2023-04-27"
"30.35,low,720.7917,476.53202125,2.1666667,14.170834,68.333336,469.0,20.6,2023-04-28"
"29.65,low,667.125,476.53202125,2.1541667,13.400001000000001,70.083336,229.0,20.204166,2023-04-29"
"39.4875,moderate,486.79166000000004,476.53202125,3.9874999999999994,4.204167,93.5,82.0,27.120834,2023-04-30"
"38.533333,moderate,552.4167,476.53202125,3.2124999,5.045833,92.208336,636.0,26.737500999999998,2023-05-01"
"33.091667,low,520.25,476.53202125,2.5,6.2125,73.125,537.0,22.862501,2023-05-02"
"41.149998,moderate,475.33334,476.53202125,3.2375,5.8916664,64.083336,560.0,28.358332,2023-05-03"
"34.058334,low,434.45834,476.53202125,2.7625,4.875,62.45833199999999,146.0,23.433334,2023-05-04"
"30.558334,low,432.58334,476.53202125,2.5583334,4.9249997,60.166667999999994,145.0,20.845833,2023-05-05"
"21.170834,very low,380.5,476.53202125,2.3208334,5.233333,51.291668,176.0,14.458333,2023-05-06"
"25.870834,low,390.5,476.53202125,2.7583332,5.4874997,48.625,76.0,17.791666,2023-05-07"
"31.820833,low,385.5833400000001,476.53202125,2.1833334,3.8791665999999996,80.25,680.0,21.945833,2023-05-08"
"31.758332999999997,low,412.25,476.53202125,2.7291667,4.9625,70.916664,477.0,21.8125,2023-05-09"
"24.645834,low,371.875,476.53202125,2.1499999,4.4958334,67.416664,436.0,16.929167,2023-05-10"
"24.866667,low,820.9167,476.53202125,1.9083333,18.020834,63.541667999999994,325.0,17.324999,2023-05-11"
"20.85,very low,670.0,476.53202125,1.3666667,11.358334,81.125,471.0,14.554166,2023-05-12"
"12.304166,very low,454.41666,476.53202125,1.6958333,11.229167,41.791668,113.0,8.558333,2023-05-13"
"16.391666,very low,367.08334,476.53202125,1.0416666,8.183333,52.833332,89.0,10.962501,2023-05-14"
"21.891668,low,981.75,476.53202125,1.9916667,19.795834,57.208332000000006,602.0,15.141666,2023-05-15"
"29.441666,low,1114.9584,476.53202125,2.5166667,20.237501,66.291664,554.0,19.7875,2023-05-16"
