"AGE_Y,lat,long,tempF,humidity,pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,Index,pm2_5_val,date"
"71.73122529644269,18.929560079051384,98.8795395256917,53.89,68.0,58.8,high,1845.5416,476.53202125,11.308333,30.793749,146.79167,253.0,30.0,41.095833,2023-01-31"
"71.28085106382979,18.8495114893617,98.9094544680851,56.25,59.0,58.0625,high,1576.875,476.53202125,8.087501,30.606249,117.375,235.0,31.0,40.533333,2023-02-01"
"69.94871794871794,19.026603821656053,98.94503630573249,58.32,58.0,60.720837,high,1629.0834,476.53202125,8.564584,32.912502,136.54167,157.0,32.0,42.3625,2023-02-02"
"70.83333333333333,18.881650520833336,98.87682135416667,59.669999999999995,51.0,46.958332000000006,moderate,1145.5834,476.53202125,5.491667,21.618749999999995,113.41666400000001,192.0,33.0,32.516666,2023-02-03"
"70.70588235294117,18.817655294117646,98.86902588235294,59.94,64.0,43.399998,moderate,936.625,476.53202125,4.2083335,18.854166,78.791664,85.0,34.0,30.0,2023-02-04"
"68.17857142857143,18.697591228070177,98.8116245614035,59.76,74.0,34.104168,low,809.2917000000001,476.53202125,3.1812499,17.74375,62.583332,57.0,35.0,23.554167,2023-02-05"
"70.81171548117155,19.086029460580914,98.96743029045642,58.5,77.0,26.629166,low,1158.4166,476.53202125,3.5229168,22.018751,62.625,241.0,36.0,18.362501,2023-02-06"
"69.61233480176212,18.8906563876652,98.8704,55.58,46.0,28.5625,low,1295.1666,476.53202125,3.7208335,25.120834,77.875,227.0,37.0,19.841667,2023-02-07"
"71.62770562770562,18.779215086206897,98.87249137931035,54.18,43.0,37.479168,moderate,1561.7916,476.53202125,3.7958333,28.033333,73.708336,232.0,38.0,26.145834,2023-02-08"
"70.52459016393442,18.83752295081967,98.86292540983607,52.72,38.0,36.241665,moderate,1685.2084,476.53202125,3.7958333,30.283333,86.875,122.0,39.0,25.304167,2023-02-09"
"68.93167701863354,18.987352795031057,98.88122422360249,53.82,42.0,34.0125,low,1652.4166,476.53202125,3.5416667,25.079168,80.333336,161.0,40.0,23.720833,2023-02-10"
"71.70422535211267,18.86199295774648,98.91419154929578,54.09,46.0,36.379166,moderate,1653.8334,476.53202125,3.5166667,30.041666,79.208336,71.0,41.0,25.320833,2023-02-11"
"70.31481481481481,18.898416666666666,98.82862777777778,54.28,41.0,41.920834,moderate,901.4583,476.53202125,4.5,10.954166,103.66666399999998,54.0,42.0,29.229165999999996,2023-02-12"
"70.71052631578948,19.04531691729323,98.96904285714285,55.0,41.0,43.875,moderate,610.375,476.53202125,5.2458334,6.9,90.541664,266.0,43.0,30.570833,2023-02-13"
"69.3393665158371,18.917864705882355,98.88385067873303,54.28,39.0,51.399998,moderate,584.6667,476.53202125,5.320833,7.133333,93.166664,221.0,44.0,35.820835,2023-02-14"
"72.02830188679245,18.81236384976526,98.90857840375587,55.89,33.0,54.995834,high,599.2083,476.53202125,5.420833600000001,7.8333335,112.333336,213.0,45.0,38.2,2023-02-15"
"71.49425287356321,18.792555172413792,98.89904655172413,63.46000000000001,62.0,38.954166,moderate,875.875,476.53202125,2.3125,16.3625,94.208336,174.0,46.0,27.170832,2023-02-16"
"71.04819277108433,18.984202409638556,98.92750120481927,54.63,96.0,36.195835,moderate,1202.1666,476.53202125,2.425,22.1875,71.833336,166.0,47.0,25.304167,2023-02-17"
"71.06557377049181,18.882888524590165,98.90054426229509,53.47,94.0,41.545834,moderate,2015.7916,476.53202125,3.9750001,40.716667,91.0,61.0,48.0,29.029167,2023-02-18"
"67.12307692307692,18.91346153846154,98.89312153846153,56.5,67.0,39.545834,moderate,1897.75,476.53202125,4.7791667,36.545834,109.708336,65.0,49.0,27.574999,2023-02-19"
"70.10317460317461,18.99326746031746,98.94329087301587,57.58,51.0,62.183334,high,1975.0834,476.53202125,7.7125,39.375,104.25,252.0,50.0,43.2625,2023-02-20"
"70.43430656934306,18.947145620437954,98.90053759124088,60.53,64.0,51.879166,moderate,1664.7916,476.53202125,4.766667,33.204166,70.625,274.0,51.0,35.920834,2023-02-21"
"70.17777777777778,18.738356444444445,98.88265822222222,58.05,63.0,50.895832,moderate,1632.8334,476.53202125,4.3458333,35.287502,83.875,225.0,52.0,35.241665,2023-02-22"
"72.2603550295858,18.85092071005917,98.89297396449705,57.22,65.0,57.67499999999999,high,1793.625,476.53202125,3.8374999,33.899998,74.708336,169.0,53.0,39.925,2023-02-23"
"69.4776119402985,19.076302985074626,98.97892537313433,57.29,61.0,60.925,high,1962.5834000000002,476.53202125,5.233333,40.391666,124.91666399999998,134.0,54.0,42.291668,2023-02-24"
"69.6984126984127,18.88237619047619,98.8609507936508,60.46,51.0,57.270832,high,1555.375,476.53202125,9.966666,32.716667,97.75,63.0,55.0,39.658333,2023-02-25"
"69.5875,18.851646249999998,98.854865,57.42999999999999,69.0,47.925,moderate,1979.0,476.53202125,8.033334,37.695835,88.958336,80.0,56.0,33.4875,2023-02-26"
"70.68650793650794,19.1428968503937,98.93327992125985,56.61,69.0,57.337498,high,2053.2083,476.53202125,11.191667,42.470833,120.708336,254.0,57.0,39.658333,2023-02-27"
"69.93103448275862,18.91804068627451,98.89627205882354,59.74,51.0,70.950005,high,2012.375,476.53202125,10.183333,39.066666,148.54167,204.0,58.0,49.245834,2023-02-28"
"70.45698924731182,18.739517204301077,98.84963817204302,58.33,48.0,75.395836,high,1256.0,476.53202125,11.608334,11.787499,158.75,186.0,59.0,52.45,2023-03-01"
"71.15178571428571,18.870684955752214,98.88040442477877,60.08,39.0,69.99167,high,883.25,476.53202125,9.779166,6.679167,154.70833,113.0,60.0,48.716663,2023-03-02"
"71.20707070707071,18.901584422110552,98.8693201005025,60.15,39.0,55.16250200000001,high,660.8333,476.53202125,6.054167,5.929167,115.875,199.0,61.0,38.320835,2023-03-03"
"73.6896551724138,18.910939655172413,98.95108448275863,58.55,50.0,61.879166,high,680.5833,476.53202125,8.266666,6.4249997,126.083336,58.0,62.0,42.895832,2023-03-04"
"72.14,18.779642000000003,98.823924,57.36,50.0,68.433334,high,792.0833,476.53202125,6.620833,7.3583336,122.291664,50.0,63.0,47.23333399999999,2023-03-05"
"70.875,18.875443055555554,98.90470694444444,58.86,51.0,63.712498,high,1229.0,476.53202125,4.6916666,24.479166,107.208336,72.0,64.0,44.07083,2023-03-06"
"69.88235294117646,18.867987197231834,98.87029169550172,58.44,54.0,64.441666,high,1286.2916,476.53202125,3.5291665,24.645834,93.5,289.0,65.0,44.675,2023-03-07"
"72.00862068965517,18.729809913793105,98.84972456896551,60.06,49.0,67.645836,high,1703.3334,476.53202125,4.2374997,34.649998,99.708336,232.0,66.0,46.970837,2023-03-08"
"69.45859872611464,18.94020828025478,98.89851656050955,62.74,47.0,70.316666,high,1144.7084,476.53202125,5.6541667,11.175,152.79167,157.0,67.0,48.899998,2023-03-09"
"69.73364485981308,19.02524046511628,98.91407162790696,61.86,50.0,66.333336,high,842.4583,476.53202125,6.179167,6.5958333,115.41666400000001,215.0,68.0,46.05417,2023-03-10"
"70.29268292682927,18.718198795180722,98.8306843373494,63.720000000000006,42.0,82.65,high,1048.8334,476.53202125,8.108334,7.804167,121.708336,83.0,69.0,57.583332,2023-03-11"
"70.9375,18.851115625000002,98.790259375,65.84,40.0,93.73334,high,1361.7084,476.53202125,5.491667,22.5,109.375,64.0,70.0,65.362495,2023-03-12"
"71.58754863813229,18.996055642023347,98.9749412451362,62.29,71.0,87.55417,high,1798.5834,476.53202125,8.691667,34.4875,94.208336,257.0,71.0,60.920834,2023-03-13"
"68.68181818181819,18.854477272727273,98.8523375,58.17,93.0,75.620834,high,1780.6666,476.53202125,5.6625,35.212498,105.333336,264.0,72.0,52.558334,2023-03-14"
"69.38528138528139,18.715056277056277,98.86795584415584,59.86,72.0,61.774998,high,1872.4166,476.53202125,3.8374999000000005,28.604166,82.458336,231.0,73.0,42.958332,2023-03-15"
"70.54395604395604,18.943045054945056,98.9225598901099,65.95,56.0,49.199999999999996,moderate,1287.2916,476.53202125,2.2083333,20.820833,79.666664,182.0,74.0,34.141666,2023-03-16"
"69.53571428571429,19.057450887573967,98.94034319526628,62.330000000000005,63.0,63.72916800000001,high,1676.875,476.53202125,3.1083332999999995,30.370834000000002,92.291664,169.0,75.0,44.3,2023-03-17"
"68.91379310344827,18.746925862068966,98.77250000000001,62.31,57.0,55.462498,high,1316.0,476.53202125,2.7291667,21.216667,71.5,58.0,76.0,38.579166,2023-03-18"
"66.44067796610169,18.804942372881357,98.86396101694916,62.6,64.0,52.033337,moderate,1228.2084,476.53202125,2.6333334,21.283335,77.916664,59.0,77.0,36.183334,2023-03-19"
"71.5811320754717,18.982300000000002,98.9434916981132,62.82,60.0,42.825,moderate,1354.7916,476.53202125,2.6625001,17.820833,61.625,265.0,78.0,29.5875,2023-03-20"
"70.51760563380282,18.97180176056338,98.90657816901408,62.91,61.0,38.554165,moderate,1574.0416,476.53202125,3.425,23.304167,48.666668,284.0,79.0,26.608332,2023-03-21"
"69.35983263598327,18.78336875,98.84866666666667,61.14,71.0,27.154166999999998,low,1246.0834,476.53202125,3.0125,21.804167,54.916668,240.0,80.0,18.725,2023-03-22"
"70.45390070921985,18.936564539007094,98.91165531914893,61.17999999999999,54.0,28.370834,low,1115.125,476.53202125,3.1791668,23.454168,63.666668,141.0,81.0,19.470833,2023-03-23"
"69.47798742138365,18.98317358490566,98.91785094339623,60.48,59.0,30.416665999999996,low,1387.7084,476.53202125,3.075,23.370834,61.45833199999999,159.0,82.0,20.916666,2023-03-24"
"71.75757575757575,18.731872727272727,98.81965454545455,61.02,61.0,43.75833,moderate,1555.9584,476.53202125,3.575,27.824999,72.458336,66.0,83.0,30.204168,2023-03-25"
"71.0,18.869095384615385,98.91504615384615,63.35999999999999,65.0,40.454166,moderate,1200.5,476.53202125,2.8708334,25.233332,75.75,65.0,84.0,27.941666,2023-03-26"
"70.78867924528302,19.05676917293233,98.8936484962406,63.05,66.0,45.8625,moderate,1512.25,476.53202125,3.6708333,29.033333,82.333336,266.0,85.0,31.7125,2023-03-27"
"70.12592592592593,18.852343333333334,98.87560148148148,61.57000000000001,53.0,53.354168,moderate,761.8333,476.53202125,3.8416665,10.866666,98.416664,270.0,86.0,37.037502,2023-03-28"
"69.73181818181818,18.81568090909091,98.90878181818182,62.1,49.0,86.270836,high,757.2917,476.53202125,4.875,10.525001,82.916664,220.0,87.0,60.0125,2023-03-29"
"70.64331210191082,18.9769898089172,98.92234713375797,61.96999999999999,43.0,90.65833,high,735.125,476.53202125,4.991667,8.841666,97.458336,157.0,88.0,62.987500000000004,2023-03-30"
"70.34042553191489,18.93080105820106,98.92432275132275,62.64000000000001,56.0,67.895836,high,600.2083,476.53202125,4.1916666,6.112499700000001,97.583336,189.0,89.0,46.95,2023-03-31"
"74.1917808219178,19.01128493150685,98.94505890410959,64.94,51.0,67.166664,high,648.125,476.53202125,4.2875,5.6583333,116.29166399999998,73.0,90.0,46.475002,2023-04-01"
"72.3225806451613,18.902664516129033,98.90057096774193,63.28,72.0,39.829166,moderate,454.41666,476.53202125,3.4375,5.6458335,83.791664,62.0,91.0,27.441666,2023-04-02"
"70.57575757575758,18.984826893939395,98.94266742424243,61.38,49.0,35.158333,low,436.41666,476.53202125,3.4583333,5.491667,72.333336,264.0,92.0,24.0625,2023-04-03"
"69.85858585858585,18.85291717171717,98.86128148148148,61.35999999999999,56.0,40.179165,moderate,470.5,476.53202125,3.7749999,5.233333,88.958336,297.0,93.0,27.520834,2023-04-04"
"69.79411764705883,18.781574789915965,98.87388697478993,60.08,46.0,56.337498,high,581.875,476.53202125,3.966667,5.841666699999999,98.5,238.0,94.0,38.912502,2023-04-05"
"66.6875,18.74542375,98.80549625,63.73,44.0,68.512505,high,709.7917,476.53202125,4.7083335,6.1541667,109.458336,80.0,95.0,47.57083,2023-04-06"
"69.99473684210527,19.043107894736842,98.93675105263158,66.54,48.0,75.39167,high,748.7082999999999,476.53202125,4.9333334,6.5375,107.583336,190.0,96.0,52.30416999999999,2023-04-07"
"68.74418604651163,18.878011627906975,98.93157906976744,66.9,40.0,62.462498,high,679.5833,476.53202125,4.4791665,5.7708335,106.125,43.0,97.0,43.129166,2023-04-08"
"69.96923076923076,18.928584615384615,98.89004769230769,67.05,36.0,50.254166,moderate,624.5417,476.53202125,4.241667,5.5375,102.083336,65.0,98.0,34.579166,2023-04-09"
"70.20370370370371,19.008616296296296,98.97272111111111,67.73,51.0,40.983334,moderate,529.7917,476.53202125,3.8083334,4.8125,94.833336,270.0,99.0,28.245834,2023-04-10"
"69.75196850393701,18.897162598425194,98.87645748031497,66.02,39.0,53.0125,moderate,638.375,476.53202125,4.6541667,5.7666664,100.166664,254.0,100.0,36.716667,2023-04-11"
"69.33771929824562,18.93714847161572,98.91367161572053,66.83,49.0,68.762505,high,712.6666999999999,476.53202125,4.55,4.304167,115.166664,229.0,101.0,47.825,2023-04-12"
"69.8103448275862,18.883558620689655,98.82301551724139,67.86,57.0,51.208332,moderate,583.7917,476.53202125,3.7708333,3.4166667,104.166664,58.0,102.0,35.408333,2023-04-13"
"68.35135135135135,18.85964054054054,98.84147567567567,67.6,56.0,43.45,moderate,1048.5,476.53202125,4.1208334,20.762499,88.416664,74.0,103.0,30.054167,2023-04-14"
"72.6029411764706,18.88938970588235,98.81645735294119,65.98,40.0,61.72083700000001,high,720.0833,476.53202125,5.1458335,6.7125,98.666664,68.0,104.0,42.879166,2023-04-15"
"68.88135593220339,18.895805084745763,98.85700677966102,67.96,36.0,53.645832,moderate,592.2083,476.53202125,4.2166667,5.1625,87.916664,59.0,105.0,37.025,2023-04-16"
"68.78873239436619,18.940419718309858,98.84814225352113,67.78,53.0,47.016666,moderate,516.5,476.53202125,3.5041666,4.545833,94.666664,71.0,106.0,32.412502,2023-04-17"
"70.6309963099631,18.896208487084873,98.86198118081181,64.81,47.0,46.575,moderate,629.375,476.53202125,3.6416667,6.2125,104.833336,271.0,107.0,32.204166,2023-04-18"
"70.55263157894737,18.713561572052402,98.82066550218342,68.27,53.0,51.545834,moderate,510.79166,476.53202125,4.0333333,3.9666665,100.208336,229.0,108.0,35.670834,2023-04-19"
"70.2,18.981036363636367,98.92152818181818,67.28,70.0,52.27499799999999,moderate,491.2083400000001,476.53202125,3.1416667000000005,3.8999999,92.875,110.0,109.0,35.991665,2023-04-20"
"70.93103448275862,18.900339655172417,98.87408706896551,65.08,78.0,50.958332,moderate,448.16666,476.53202125,3.5833333,4.7374997,85.166664,232.0,110.0,34.866665,2023-04-21"
"70.27142857142857,18.875714285714285,98.85401999999999,66.09,69.0,58.254166,high,445.75,476.53202125,3.3791666,4.7208333,82.5,70.0,111.0,39.8875,2023-04-22"
"70.84482758620689,18.78969310344828,98.87319137931034,63.72,72.0,46.100002,moderate,455.95834,476.53202125,2.9166667,5.3125,72.791664,58.0,112.0,31.3375,2023-04-23"
"69.86254295532646,19.07972662116041,98.96839624573379,67.28,57.0,48.75833,moderate,1042.875,476.53202125,3.2375,23.016668,60.833332,293.0,113.0,33.029167,2023-04-24"
"72.56944444444444,18.967120138888887,98.90151111111112,69.42,44.0,43.295834,moderate,1271.6666,476.53202125,2.8166666,23.804167,61.125,288.0,114.0,29.341667000000005,2023-04-25"
"70.05069124423963,18.745948387096774,98.78283456221199,69.66,41.0,43.541668,moderate,779.7917,476.53202125,2.2666667,12.5,68.291664,217.0,115.0,29.966667,2023-04-26"
"69.20979020979021,19.02973146853147,98.92431678321678,66.61,62.0,46.583332,moderate,915.25,476.53202125,2.2749999,17.020834,64.208336,143.0,116.0,32.295834,2023-04-27"
"70.45197740112994,19.050220338983053,98.90702655367232,65.3,62.0,30.349999999999998,low,720.7917,476.53202125,2.1666667,14.170833999999997,68.333336,177.0,117.0,20.6,2023-04-28"
"69.90322580645162,18.93848548387097,98.95493548387097,69.8,43.0,29.65,low,667.125,476.53202125,2.1541667,13.400001,70.083336,62.0,118.0,20.204166,2023-04-29"
"68.36170212765957,18.80383404255319,98.75590638297874,70.72,47.0,39.4875,moderate,486.79166,476.53202125,3.9875,4.204167,93.5,47.0,119.0,27.120834000000002,2023-04-30"
